year,world_kusd,china_kusd,china_share_pct
2000,535600.146,266997.833,49.9
2001,523223.393,231535.053,44.3
2003,615867.136,284244.245,46.2
2004,856009.381,407198.902,47.6
2005,1064384.73,512379.573,48.1
2006,1542321.443,1046078.859,67.8
2007,1886552.768,1399795.875,74.2
2013,4269055.846,3700268.774,86.7
2014,5774330.896,5070107.413,87.8
2015,4669280.457,3897417.397,83.5
2016,4916326.458,3883128.125,79.0
2017,6200592.95184,5268938.0711,85.0
2018,7011757.684815,6505529.538861,92.8
2019,7619753.899961,6772662.87355,88.9
2020,7576310.83479,5489992.84574,72.5
2021,9241123.14994,7633173.30647,82.6
2022,12557706.706273,10586668.365485,84.3
