year,total_kusd,fuels_kusd,minerals_kusd,fuels_pct,minerals_pct
2000,535600.146,2259.687,186072.727,0.4,34.7
2001,523223.393,3838.123,173544.538,0.7,33.2
2003,615867.136,13879.162,200704.281,2.3,32.6
2004,856009.381,25632.743,328105.805,3.0,38.3
2005,1064384.73,40214.784,414046.588,3.8,38.9
2006,1542321.443,70379.811,823172.21,4.6,53.4
2007,1886552.768,170071.084,1131175.69,9.0,60.0
2013,4269055.846,1650007.216,1845459.698,38.7,43.2
2014,5774330.896,1496100.716,3295380.965,25.9,57.1
2015,4669280.457,949731.897,2728468.148,20.3,58.4
2016,4916326.458,1316689.485,2167357.073,26.8,44.1
2017,6200592.95184,2648900.98346,2284771.07941,42.7,36.8
2018,7011757.684815,3210393.99546,2859945.176704,45.8,40.8
2019,7619753.899961,3485104.00514,2892364.707184,45.7,38.0
2020,7576310.83479,2281490.35731,2974546.93317,30.1,39.3
2021,9241123.14994,3056565.4445,4453961.17424,33.1,48.2
2022,12557706.706273,6766199.361989,3791019.377619,53.9,30.2
