year,import_total_kusd,import_ee_kusd,import_fuels_kusd,export_total_kusd,export_ee_kusd,import_ee_pct,import_fuels_pct,export_ee_pct
2000,81957250.044,49244556.271,3940605.61,98229725.796,60709472.101,60.1,4.8,61.8
2001,73846608.845,42330291.931,3869113.999,88004108.096,52838216.843,57.3,5.2,60.0
2002,86136022.725,46403959.917,4838829.401,93282453.146,54423306.762,53.9,5.6,58.3
2003,83613981.628,48725849.513,4610834.497,104968562.038,59374870.857,58.3,5.5,56.6
2004,105156808.107,56697083.037,6630896.584,126639700.629,68266707.958,53.9,6.3,53.9
2005,114289820.494,60612331.786,9227586.312,141624045.896,75428611.071,53.0,8.1,53.3
2006,131127047.764,66778913.367,11745561.874,160669230.59,82670146.026,50.9,9.0,51.5
2007,146104307.073,71590197.408,12883744.777,175961862.673,84407404.562,49.0,8.8,48.0
2008,155660819.369,58242253.42,17034444.299,198702474.772,63069654.634,37.4,10.9,31.7
2009,123575279.3,56189321.257,10147884.078,157194831.522,71415709.046,45.5,8.2,45.4
2010,164586273.423,72504745.229,16403561.733,198790690.678,85702083.517,44.1,10.0,43.1
2011,187573009.395,73417340.086,22055774.198,226992681.985,86583459.171,39.1,11.8,38.1
2012,196196618.679,73590313.594,27842449.554,227449499.544,84150251.201,37.5,14.2,37.0
2013,205813524.818,74121962.553,33336880.928,228316107.468,84601800.796,36.0,16.2,37.1
2014,208823428.627,75479146.694,35141920.22,234134976.857,88678775.69,36.1,16.8,37.9
2015,176174598.214,66663256.181,21759688.88,200210871.947,81985026.095,37.8,12.4,40.9
2016,168375228.233,66158811.034,17359671.831,189414073.154,80022167.26,39.3,10.3,42.2
2017,194720187.072801,76969356.9827956,24868483.8376643,217722507.482112,92544414.9914757,39.5,12.8,42.5
2018,218018425.150571,83733121.8656169,31354744.6239692,248711690.011168,108510087.129596,38.4,14.4,43.6
2019,205030495.401332,76285773.4758408,29832227.2909071,240211905.65233,103744047.437316,37.2,14.6,43.2
2020,190404531.97483,75005256.9491784,22648671.9937086,234050267.453372,106345753.375609,39.4,11.9,45.4
2021,238249762.706575,92569334.1905508,29864879.1303448,299230434.394232,127470352.060213,38.9,12.5,42.6
2022,293941168.750837,110999512.271482,54916930.813204,352188166.340549,155216751.581896,37.8,18.7,44.1
2023,265637832.626023,98014703.22354,50773154.872285,312605385.581646,142962533.63555,36.9,19.1,45.7
