year,fdi_inflows_usd,fdi_pct_gdp,manufactures_pct
1970,94000000.0,2.43262050891876,6.54665246282083
1971,100000000.0,2.3560478579699,7.52979604793447
1972,114000000.0,2.2604035443038,10.1760629543446
1973,172000000.0,2.24458024889174,11.3988100564482
1974,570819254.595405,6.01102542086446,12.9280700859725
1975,350491202.931934,3.76920863765598,17.2711249990766
1976,381259652.112456,3.45024034295074,15.0813828873804
1977,405885818.525049,3.08905338613725,15.0113847808478
1978,499991004.965365,3.05653847627618,18.621558754775
1979,573467421.839787,2.70334351108458,17.4757281375442
1980,933903976.260897,3.81368591872655,18.7542492568854
1981,1264688331.16862,5.05788624278183,19.5938227238037
1982,1397196045.41608,5.21254407721585,22.8454259813029
1983,1260527733.35506,4.15365396776224,24.7219038045171
1984,797476861.322828,2.34946607947751,26.5338599518817
1985,694712466.229254,2.22666868667977,27.1705432903901
1986,488874111.042602,1.76271777377718,37.0477816927862
1987,422679709.984833,1.31343634347508,39.2646912117345
1988,719418050.366902,2.03962299468874,43.5142144495172
1989,1667871568.72095,4.29333056736689,48.6361818736114
1990,2332455289.06141,5.29807441993264,53.7283628708499
1991,3998448522.46005,8.13632963600556,60.5351384718369
1992,5183358086.40239,8.76047440214555,64.3485975717589
1993,5005642759.8826,7.4828391233144,69.6208621544511
1994,4341800916.32296,5.82961425798393,73.6205759289491
1995,4178239335.0381,4.71024540158831,74.6718057374351
1996,5078414947.87738,5.03534293107291,75.7047002083294
1997,5136514575.67471,5.13624115805327,76.4387790085203
1998,2163401815.57572,2.99775085201455,78.6923053238898
1999,3895263157.89473,4.9214666648934,80.2761103134803
2000,3787631578.94736,4.03842862393763,80.3553212964524
2001,553947368.421052,0.597029318252079,80.0269016341535
2002,3192894736.8421,3.16612432250471,78.2663766825805
2003,3218947368.42105,2.92094209456765,76.6984559604185
2004,4376052631.57894,3.50787262049412,75.5185807199386
2005,3924786634.73868,2.73438734940078,74.545076553968
2006,7690731245.66746,4.72716484834358,73.3888626310126
2007,9071369834.83859,4.68684578287436,70.893336469631
2008,7572512432.33634,3.28081949125174,54.1517680056406
2009,114664434.56228,0.056692316075743,69.6001051495691
2010,10885801851.6194,4.26864663854031,67.0010259669268
2011,15119439203.9543,5.07446032143377,62.0434186980999
2012,8895774250.70401,2.82905738174529,61.5492703719571
2013,11296279513.9209,3.49431175959971,60.6315003418679
2014,10619431582.9781,3.14122940365348,61.5701463861358
2015,9857162111.82329,3.27094402931735,66.414936202965
2016,13470089920.807,4.47130958598651,68.0179738974581
2017,9368469822.66145,2.9358203805856,66.5950762518143
2018,8304480741.65266,2.31458721219734,68.4240772452125
2019,9154921685.03934,2.50697705748044,70.1215212704831
2020,4058769678.64231,1.20275464255821,73.1260443884642
2021,20245157326.8023,5.41626377085161,70.2832707695381
2022,15027992710.6144,3.68486215546291,66.6596858804422
2023,7918601050.23635,1.97990062716743,68.3939118895688
2024,15593246086.7664,3.6930953933026,69.7825556725704
