FREQ,REPORTER,PARTNER,PRODUCTCODE,INDICATOR,DATASOURCE,year,value_kusd
A,MNG,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2000,2259.687
A,MNG,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2001,3838.123
A,MNG,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2003,13879.162
A,MNG,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2004,25632.743
A,MNG,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2005,40214.784
A,MNG,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2006,70379.811
A,MNG,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2007,170071.084
A,MNG,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2013,1650007.216
A,MNG,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2014,1496100.716
A,MNG,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2015,949731.897
A,MNG,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2016,1316689.485
A,MNG,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2017,2648900.98346
A,MNG,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2018,3210393.99546
A,MNG,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2019,3485104.00514
A,MNG,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2020,2281490.35731
A,MNG,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2021,3056565.4445
A,MNG,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2022,6766199.361989
