FREQ,REPORTER,PARTNER,PRODUCTCODE,INDICATOR,DATASOURCE,year,value_kusd
A,MNG,WLD,25-26_Minerals,XPRT-TRD-VL,WITS-CMT,2000,186072.727
A,MNG,WLD,25-26_Minerals,XPRT-TRD-VL,WITS-CMT,2001,173544.538
A,MNG,WLD,25-26_Minerals,XPRT-TRD-VL,WITS-CMT,2003,200704.281
A,MNG,WLD,25-26_Minerals,XPRT-TRD-VL,WITS-CMT,2004,328105.805
A,MNG,WLD,25-26_Minerals,XPRT-TRD-VL,WITS-CMT,2005,414046.588
A,MNG,WLD,25-26_Minerals,XPRT-TRD-VL,WITS-CMT,2006,823172.21
A,MNG,WLD,25-26_Minerals,XPRT-TRD-VL,WITS-CMT,2007,1131175.69
A,MNG,WLD,25-26_Minerals,XPRT-TRD-VL,WITS-CMT,2013,1845459.698
A,MNG,WLD,25-26_Minerals,XPRT-TRD-VL,WITS-CMT,2014,3295380.965
A,MNG,WLD,25-26_Minerals,XPRT-TRD-VL,WITS-CMT,2015,2728468.148
A,MNG,WLD,25-26_Minerals,XPRT-TRD-VL,WITS-CMT,2016,2167357.073
A,MNG,WLD,25-26_Minerals,XPRT-TRD-VL,WITS-CMT,2017,2284771.07941
A,MNG,WLD,25-26_Minerals,XPRT-TRD-VL,WITS-CMT,2018,2859945.176704
A,MNG,WLD,25-26_Minerals,XPRT-TRD-VL,WITS-CMT,2019,2892364.707184
A,MNG,WLD,25-26_Minerals,XPRT-TRD-VL,WITS-CMT,2020,2974546.93317
A,MNG,WLD,25-26_Minerals,XPRT-TRD-VL,WITS-CMT,2021,4453961.17424
A,MNG,WLD,25-26_Minerals,XPRT-TRD-VL,WITS-CMT,2022,3791019.377619
