FREQ,REPORTER,PARTNER,PRODUCTCODE,INDICATOR,DATASOURCE,year,value_kusd
A,MNG,WLD,OresMtls,XPRT-TRD-VL,WITS-CMT,2000,190427.342
A,MNG,WLD,OresMtls,XPRT-TRD-VL,WITS-CMT,2001,177692.359
A,MNG,WLD,OresMtls,XPRT-TRD-VL,WITS-CMT,2003,204912.58
A,MNG,WLD,OresMtls,XPRT-TRD-VL,WITS-CMT,2004,341273.093
A,MNG,WLD,OresMtls,XPRT-TRD-VL,WITS-CMT,2005,424140.363
A,MNG,WLD,OresMtls,XPRT-TRD-VL,WITS-CMT,2006,843742.618
A,MNG,WLD,OresMtls,XPRT-TRD-VL,WITS-CMT,2007,1154543.217
A,MNG,WLD,OresMtls,XPRT-TRD-VL,WITS-CMT,2013,1862429.715
A,MNG,WLD,OresMtls,XPRT-TRD-VL,WITS-CMT,2014,3338298.961
A,MNG,WLD,OresMtls,XPRT-TRD-VL,WITS-CMT,2015,2796470.516
A,MNG,WLD,OresMtls,XPRT-TRD-VL,WITS-CMT,2016,2243384.004
A,MNG,WLD,OresMtls,XPRT-TRD-VL,WITS-CMT,2017,2380598.22521
A,MNG,WLD,OresMtls,XPRT-TRD-VL,WITS-CMT,2018,2945253.633294
A,MNG,WLD,OresMtls,XPRT-TRD-VL,WITS-CMT,2019,2962644.134754
A,MNG,WLD,OresMtls,XPRT-TRD-VL,WITS-CMT,2020,3036861.93995
A,MNG,WLD,OresMtls,XPRT-TRD-VL,WITS-CMT,2021,4561244.29138
A,MNG,WLD,OresMtls,XPRT-TRD-VL,WITS-CMT,2022,3880491.638964
