FREQ,REPORTER,PARTNER,PRODUCTCODE,INDICATOR,DATASOURCE,year,value_kusd
A,MNG,CHN,Total,XPRT-TRD-VL,WITS-CMT,2000,266997.833
A,MNG,CHN,Total,XPRT-TRD-VL,WITS-CMT,2001,231535.053
A,MNG,CHN,Total,XPRT-TRD-VL,WITS-CMT,2003,284244.245
A,MNG,CHN,Total,XPRT-TRD-VL,WITS-CMT,2004,407198.902
A,MNG,CHN,Total,XPRT-TRD-VL,WITS-CMT,2005,512379.573
A,MNG,CHN,Total,XPRT-TRD-VL,WITS-CMT,2006,1046078.859
A,MNG,CHN,Total,XPRT-TRD-VL,WITS-CMT,2007,1399795.875
A,MNG,CHN,Total,XPRT-TRD-VL,WITS-CMT,2013,3700268.774
A,MNG,CHN,Total,XPRT-TRD-VL,WITS-CMT,2014,5070107.413
A,MNG,CHN,Total,XPRT-TRD-VL,WITS-CMT,2015,3897417.397
A,MNG,CHN,Total,XPRT-TRD-VL,WITS-CMT,2016,3883128.125
A,MNG,CHN,Total,XPRT-TRD-VL,WITS-CMT,2017,5268938.0711
A,MNG,CHN,Total,XPRT-TRD-VL,WITS-CMT,2018,6505529.538861
A,MNG,CHN,Total,XPRT-TRD-VL,WITS-CMT,2019,6772662.87355
A,MNG,CHN,Total,XPRT-TRD-VL,WITS-CMT,2020,5489992.84574
A,MNG,CHN,Total,XPRT-TRD-VL,WITS-CMT,2021,7633173.30647
A,MNG,CHN,Total,XPRT-TRD-VL,WITS-CMT,2022,10586668.365485
