FREQ,REPORTER,PARTNER,PRODUCTCODE,INDICATOR,DATASOURCE,year,value_kusd
A,MNG,WLD,Total,XPRT-TRD-VL,WITS-CMT,2000,535600.146
A,MNG,WLD,Total,XPRT-TRD-VL,WITS-CMT,2001,523223.393
A,MNG,WLD,Total,XPRT-TRD-VL,WITS-CMT,2003,615867.136
A,MNG,WLD,Total,XPRT-TRD-VL,WITS-CMT,2004,856009.381
A,MNG,WLD,Total,XPRT-TRD-VL,WITS-CMT,2005,1064384.73
A,MNG,WLD,Total,XPRT-TRD-VL,WITS-CMT,2006,1542321.443
A,MNG,WLD,Total,XPRT-TRD-VL,WITS-CMT,2007,1886552.768
A,MNG,WLD,Total,XPRT-TRD-VL,WITS-CMT,2013,4269055.846
A,MNG,WLD,Total,XPRT-TRD-VL,WITS-CMT,2014,5774330.896
A,MNG,WLD,Total,XPRT-TRD-VL,WITS-CMT,2015,4669280.457
A,MNG,WLD,Total,XPRT-TRD-VL,WITS-CMT,2016,4916326.458
A,MNG,WLD,Total,XPRT-TRD-VL,WITS-CMT,2017,6200592.95184
A,MNG,WLD,Total,XPRT-TRD-VL,WITS-CMT,2018,7011757.684815
A,MNG,WLD,Total,XPRT-TRD-VL,WITS-CMT,2019,7619753.899961
A,MNG,WLD,Total,XPRT-TRD-VL,WITS-CMT,2020,7576310.83479
A,MNG,WLD,Total,XPRT-TRD-VL,WITS-CMT,2021,9241123.14994
A,MNG,WLD,Total,XPRT-TRD-VL,WITS-CMT,2022,12557706.706273
