FREQ,REPORTER,PARTNER,PRODUCTCODE,INDICATOR,DATASOURCE,year,value_kusd
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2000,5437787.612
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2001,5326634.378
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2002,7027750.924
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2003,9010849.777
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2004,10064222.809
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2005,9828550.247
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2006,11170039.782
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2007,16218749.931
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2008,23140432.27
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2009,17624678.522
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2010,23606682.747
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2011,31714026.976
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2012,28448052.959
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2013,25096191.115
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2014,26005658.114
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2015,21689924.31
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2016,21872634.24
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2017,23990402.9821575
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2018,22604004.6295448
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2019,22257508.9930959
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2020,23570641.6108547
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2021,32280851.7824059
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2022,37285370.35988
A,MYS,WLD,Food,XPRT-TRD-VL,WITS-CMT,2023,29823007.000411
