FREQ,REPORTER,PARTNER,PRODUCTCODE,INDICATOR,DATASOURCE,year,value_kusd
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2000,9449731.073
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2001,8554204.077
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2002,7827252.096
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2003,10575888.398
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2004,14689272.905
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2005,18987777.864
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2006,22064137.785
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2007,25332110.179
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2008,36479417.92
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2009,23251212.138
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2010,31513585.093
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2011,40277177.637
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2012,46431648.562
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2013,50869713.459
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2014,51731061.381
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2015,32976124.812
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2016,26532999.842
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2017,33570657.8834742
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2018,38990048.6401143
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2019,34702659.7882965
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2020,26672202.5240227
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2021,37270171.1979641
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2022,60171722.563975
A,MYS,WLD,27-27_Fuels,XPRT-TRD-VL,WITS-CMT,2023,51637072.367487
