FREQ,REPORTER,PARTNER,PRODUCTCODE,INDICATOR,DATASOURCE,year,value_kusd
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2000,60709472.101
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2001,52838216.843
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2002,54423306.762
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2003,59374870.857
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2004,68266707.958
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2005,75428611.071
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2006,82670146.026
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2007,84407404.562
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2008,63069654.634
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2009,71415709.046
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2010,85702083.517
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2011,86583459.171
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2012,84150251.201
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2013,84601800.796
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2014,88678775.69
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2015,81985026.095
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2016,80022167.26
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2017,92544414.9914757
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2018,108510087.129596
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2019,103744047.437316
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2020,106345753.375609
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2021,127470352.060213
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2022,155216751.581896
A,MYS,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2023,142962533.63555
