FREQ,REPORTER,PARTNER,PRODUCTCODE,INDICATOR,DATASOURCE,year,value_kusd
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2000,78929703.655
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2001,70419255.396
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2002,73007472.696
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2003,80504596.322
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2004,95629633.437
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2005,105567072.915
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2006,117911656.57
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2007,124742383.284
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2008,107609501.483
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2009,109409617.559
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2010,133185536.825
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2011,140845460.196
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2012,140000799.906
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2013,138463755.813
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2014,144190422.529
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2015,132991039.731
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2016,128820843.537
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2017,146308131.691602
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2018,171266099.737482
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2019,169448429.79264
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2020,172221968.714492
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2021,211492445.11936
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2022,236701708.356997
A,MYS,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2023,215154590.767322
