FREQ,REPORTER,PARTNER,PRODUCTCODE,INDICATOR,DATASOURCE,year,value_kusd
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2000,98229725.796
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2001,88004108.096
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2002,93282453.146
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2003,104968562.038
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2004,126639700.629
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2005,141624045.896
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2006,160669230.59
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2007,175961862.673
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2008,198702474.772
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2009,157194831.522
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2010,198790690.678
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2011,226992681.985
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2012,227449499.544
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2013,228316107.468
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2014,234134976.857
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2015,200210871.947
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2016,189414073.154
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2017,217722507.482112
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2018,248711690.011168
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2019,240211905.65233
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2020,234050267.453372
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2021,299230434.394232
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2022,352188166.340549
A,MYS,WLD,Total,XPRT-TRD-VL,WITS-CMT,2023,312605385.581646
