FREQ,REPORTER,PARTNER,PRODUCTCODE,INDICATOR,DATASOURCE,year,value_kusd
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2000,28222817.234
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2001,22907041.435
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2002,25749084.212
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2003,25776209.808
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2004,28365248.97
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2005,28468581.971
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2006,30922955.648
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2007,32953605.615
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2008,30301877.897
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2009,24230106.013
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2010,20416695.524
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2011,16968668.049
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2012,27826487.96
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2013,29202868.954
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2014,32043198.452
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2015,34175101.703
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2016,32994237.7
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2017,41653884.96
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2018,42516557.155
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2019,45683083.968
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2020,42090194.828
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2021,47246756.186
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2022,50699459.791
A,PHL,WLD,84-85_MachElec,XPRT-TRD-VL,WITS-CMT,2023,46908511.475
