FREQ,REPORTER,PARTNER,PRODUCTCODE,INDICATOR,DATASOURCE,year,value_kusd
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2000,34774925.502
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2001,29243738.896
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2002,32195446.003
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2003,32531755.577
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2004,35617188.493
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2005,36759821.994
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2006,40841503.366
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2007,42854090.537
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2008,40551272.402
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2009,32798720.822
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2010,28990951.406
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2011,27809026.224
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2012,42530510.903
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2013,44251736.579
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2014,48629067.472
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2015,49342087.235
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2016,47431232.529
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2017,55671089.831
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2018,55376872.011
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2019,57719156.57
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2020,52171654.771
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2021,59597877.912
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2022,62900226.172
A,PHL,WLD,manuf,XPRT-TRD-VL,WITS-CMT,2023,58224534.107
