FREQ,REPORTER,PARTNER,PRODUCTCODE,INDICATOR,DATASOURCE,year,value_kusd
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2000,38078249.794
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2001,32150202.592
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2002,35208158.692
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2003,36231205.444
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2004,39680520.434
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2005,41254683.469
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2006,47410117.34
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2007,50465711.125
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2008,49077539.969
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2009,38435801.947
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2010,51497514.607
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2011,48042128.759
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2012,51995223.994
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2013,56697802.975
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2014,61809755.23
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2015,58648083.08
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2016,56312747.948
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2017,68712611.186
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2018,67487668.298
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2019,70926674.49
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2020,65214435.072
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2021,74619528.755
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2022,78928518.085
A,PHL,WLD,Total,XPRT-TRD-VL,WITS-CMT,2023,72923284.86
