country,iso3,year,value,indicator
Malaysia,MYS,2000,98229000000.0,merchandise_exports_usd
Malaysia,MYS,2001,87969000000.0,merchandise_exports_usd
Malaysia,MYS,2002,94061000000.0,merchandise_exports_usd
Malaysia,MYS,2003,104706000000.0,merchandise_exports_usd
Malaysia,MYS,2004,126646000000.0,merchandise_exports_usd
Malaysia,MYS,2005,141626000000.0,merchandise_exports_usd
Malaysia,MYS,2006,160749000000.0,merchandise_exports_usd
Malaysia,MYS,2007,175966000000.0,merchandise_exports_usd
Malaysia,MYS,2008,199414000000.0,merchandise_exports_usd
Malaysia,MYS,2009,157244000000.0,merchandise_exports_usd
Malaysia,MYS,2010,198612000000.0,merchandise_exports_usd
Malaysia,MYS,2011,228086000000.0,merchandise_exports_usd
Malaysia,MYS,2012,227538000000.0,merchandise_exports_usd
Malaysia,MYS,2013,228331000000.0,merchandise_exports_usd
Malaysia,MYS,2014,233927000000.0,merchandise_exports_usd
Malaysia,MYS,2015,199952000000.0,merchandise_exports_usd
Malaysia,MYS,2016,189743000000.0,merchandise_exports_usd
Malaysia,MYS,2017,218130000000.0,merchandise_exports_usd
Malaysia,MYS,2018,247455000000.0,merchandise_exports_usd
Malaysia,MYS,2019,238195000000.0,merchandise_exports_usd
Malaysia,MYS,2020,234766000000.0,merchandise_exports_usd
Malaysia,MYS,2021,299425000000.0,merchandise_exports_usd
Malaysia,MYS,2022,352094000000.0,merchandise_exports_usd
Malaysia,MYS,2023,312965000000.0,merchandise_exports_usd
Malaysia,MYS,2024,330419000000.0,merchandise_exports_usd
Mongolia,MNG,2000,536000000.0,merchandise_exports_usd
Mongolia,MNG,2001,521000000.0,merchandise_exports_usd
Mongolia,MNG,2002,524000000.0,merchandise_exports_usd
Mongolia,MNG,2003,616000000.0,merchandise_exports_usd
Mongolia,MNG,2004,870000000.0,merchandise_exports_usd
Mongolia,MNG,2005,1065000000.0,merchandise_exports_usd
Mongolia,MNG,2006,1543000000.0,merchandise_exports_usd
Mongolia,MNG,2007,1889000000.0,merchandise_exports_usd
Mongolia,MNG,2008,2539000000.0,merchandise_exports_usd
Mongolia,MNG,2009,1903000000.0,merchandise_exports_usd
Mongolia,MNG,2010,2899000000.0,merchandise_exports_usd
Mongolia,MNG,2011,4818000000.0,merchandise_exports_usd
Mongolia,MNG,2012,4385000000.0,merchandise_exports_usd
Mongolia,MNG,2013,4269000000.0,merchandise_exports_usd
Mongolia,MNG,2014,5775000000.0,merchandise_exports_usd
Mongolia,MNG,2015,4669000000.0,merchandise_exports_usd
Mongolia,MNG,2016,4916000000.0,merchandise_exports_usd
Mongolia,MNG,2017,6201000000.0,merchandise_exports_usd
Mongolia,MNG,2018,7012000000.0,merchandise_exports_usd
Mongolia,MNG,2019,7620000000.0,merchandise_exports_usd
Mongolia,MNG,2020,7576000000.0,merchandise_exports_usd
Mongolia,MNG,2021,9241000000.0,merchandise_exports_usd
Mongolia,MNG,2022,12539000000.0,merchandise_exports_usd
Mongolia,MNG,2023,15187000000.0,merchandise_exports_usd
Mongolia,MNG,2024,15783000000.0,merchandise_exports_usd
Philippines,PHL,2000,38078000000.0,merchandise_exports_usd
Philippines,PHL,2001,32150000000.0,merchandise_exports_usd
Philippines,PHL,2002,35208000000.0,merchandise_exports_usd
